Artifact ID,Item Name,Category,Provenance/Significance,Source,Picture,Additional information,URL,Magazine,Date,Vol.,Issue
26.0048,"The F-1 Challenge Trophy
Title trophy for the 20"" BMX sport of F1/F-1 racing. 1986",Award,"This F-1 Challenge Trophy (1986) represents a championship title in the 20-inch BMX discipline known as F-1 racing, a high-level professional racing format that emerged during the 1980s BMX boom. F-1 events brought together top riders competing for prestige and prize money in a format inspired by the structure and branding of Formula 1 motorsport. Trophies like this reflect the efforts during the mid-1980s to elevate BMX racing into a more professional and widely promoted competitive sport.",Leary Locker,,"F-1 BMX racing referred to a short-lived mid-1980s experiment with 20-inch geared BMX race bikes, originally promoted with drivetrain technology developed by Shimano. Unlike traditional single-speed BMX bikes, F-1 bikes used multi-speed gearing systems designed to increase speed on larger tracks. Several manufacturers—including Haro Bikes and Diamondback Bicycles—produced F-1 style race bikes, though the concept ultimately remained a niche format within BMX racing.",,,,,
26.0049,Diamondback HLT Forks with Baseball,Forks,"These Diamondback Harry Leary Turbo BMX forks marking “HLT3” stamped on the dropout. The included baseball reflects the Japanese manufacturing origin of the forks, a period when many high-quality BMX components were produced in Japan before later production shifted to Taiwan.",Linda Leary,,"During the early 1980s, Diamondback Bicycles produced many of its high-end BMX components in Japan, where precision manufacturing and high-quality chromoly fabrication were widely respected in the cycling industry. As BMX production expanded later in the decade, manufacturing gradually shifted to Taiwan, where growing bicycle factories allowed companies to produce frames and components at larger scale while maintaining competitive pricing for the rapidly growing BMX market.",,,,,
26.0050,Harry Leary Fall Risk Racing 2023 Numberplate decal,Plate,"This Fall Risk Racing #5 number plate decal from 2023 represents BMX legend Harry Leary during his continued participation in BMX racing later in life. The number 5 identifies Leary’s race number within the veteran racing class, while the “Fall Risk Racing” name reflects the humor and camaraderie shared among longtime BMX racers who remain active in the sport decades after its early growth.",Greg Mathias,,"Fall Risk Racing is a BMX racing team formed by veteran riders who continued competing later in life, often embracing the humor of aging racers still active in the sport. Riders such as Harry Leary participated in events under the Fall Risk Racing banner, reflecting the strong camaraderie among longtime BMX competitors.",,,,,
26.0051,Linda and Harry Leary Signed /Copy - The museum owns the jersey and frame from this picture. ,Autographed Picture,"A unique historical tribute to BMX legend Harry Leary. This item is a certified copy of the only signature Harry’s wife, Linda Leary, has of him. This specific copy was signed and gifted by Linda to the Lititz BMX collection. Note: The museum also houses the original Factory Jersey and Frame featured in this iconic photograph.",Linda Leary,,"This signed photo of Harry Leary and Linda Leary documents a moment connected to artifacts preserved in the Lititz BMX Archive. The museum also holds the Honda jersey and Specialized Hemi frame shown in the image, creating a direct visual link between the photograph and the physical items in the collection.",,,,,
26.0052,Daylight Frame (Damaged) - The Last HLT4,Frame,"This is the last HLT 4 frame owned and ridden by Harry Leary. According to Harry, this specific bike was accidentally run over by a vehicle with a bunch of kids while he was setting up for a series of Sprints. While some in the community remain skeptical of the ""hit-and-run"" account, the frame stands as a unique piece of Late-Career Leary History. This frame was discussed by Greg Mathias and Kyle A. Huffman in their Fireside BMX Chat podcast.",Greg Mathias,,"The HLT frame series was associated with BMX pioneer Harry Leary, whose initials formed the “HLT” designation by Diamondback BMX.",https://youtu.be/EUTzVetaoLc?si=_goyyUivkbsvIMVq,,,,
26.0053,"Racers Against Drugs ""Harry Leary"" Plaque",Award,"Official Racers Against Drugs (RAD) commemorative plaque awarded to Harry Leary. This piece served as a key authentication document, originating directly from Harry’s first personal storage locker. It was acquired alongside the 24"" Diamondback Prototype, providing undeniable provenance for the bike’s factory origins and Harry’s personal ownership.",Online,,Racers Against Drugs (RAD) was a BMX community initiative that promoted drug-free lifestyles through racing events and rider participation. Awards and plaques such as this one recognized riders like Harry Leary for their involvement in supporting positive youth messaging within the BMX community.,,,,,
26.0054,2012 UCI Worlds Winner Bike & Dual w1 -1st Place Felicia Stancil GT Speed Series,Bike,"The original GT Speed Series raced by Felicia Stancil to double gold at the 2012 UCI BMX World Championships in Birmingham, UK. This bike carried Felicia to 1st place in both the Junior Women’s Moto and the Junior Women’s Time Trial, earning her the coveted W1 (World #1) plate. Featuring the original race plate, this bike represents a dominant chapter in US Olympic-pathway history.",Online,,"The original GT Speed Series race bike used by Felicia Stancil to win double gold at the 2012 UCI BMX World Championships in Birmingham, United Kingdom. Stancil secured 1st place in both the Junior Women’s Moto and Junior Women’s Time Trial, earning the prestigious W1 (World Champion) plate. Retaining its original race plate, the bike represents a defining moment in American BMX’s Olympic development pathway and the early career of one of the sport’s most successful female racers.",,,,,
26.0055,"First ""Livermore"" Boss - Boss Hogg Complete
Serial Number CR01",Bike,"The first 'Livermore' Boss Hogg ever produced. This complete Boss Hogg wears Serial Number CR01, marking the beginning of the brand’s manufacturing era in Livermore, California. As the very first unit off the line, this survivor represents the absolute origin of the Boss Hogg production run and is a cornerstone piece of American BMX manufacturing history. This frame was restored by C4 Labs and built frame up from there by Kyle A. Huffman.",Online,,"The first Boss Hogg produced following Boss Manufacturing’s move to Livermore, California, bearing Serial Number CR01. As the inaugural unit of the Livermore production run, this frame marks the beginning of a new manufacturing era for the brand. The frame was restored by C4 Labs and later assembled as a complete build by Kyle A. Huffman, preserving a foundational artifact of American BMX manufacturing history.",,,,,
26.0056,"Radical Rick Complete Episodes Soft Cover Proof
2 of 8",Art,"One of only eight existing full-color Press Proofs for the Radical Rick: The Complete Episodes book cover. This specific item is #2 of 8 and was used by creator Damian Fulton to verify color accuracy and finish before final publication. Printed on 12” x 18” heavy stock, it features a hand-crimped 'Certified Radical' gold foil seal and is hand-signed/numbered by Fulton.",Online,,"One of only eight full-color press proofs produced for the cover of Radical Rick: The Complete Episodes. This example, numbered 2 of 8, was used by creator Damian Fulton to verify color accuracy and final finish prior to publication. Printed on 12” x 18” heavy stock, it features a hand-crimped “Certified Radical” gold foil seal and is hand-signed and numbered by Fulton.",https://radicalrickbmx.com/collections/artwork/products/press-proof-of-book-cover?variant=41497036554326,,,,
26.0057,"Radical Rick and Bill Allen Signed Print by Damian Fulton
57 of 100 ",Art,"A rare collaborative tribute featuring the two most recognizable icons of the 80s BMX era. This limited edition print, illustrated by Damian Fulton, is hand-signed by both the artist and Bill Allen (internationally known for his role as Cru Jones in the cult-classic film RAD). This piece is number 57 of 100, merging the world of Radical Rick comics with the cinematic legacy of Helltrack.",Bill Allen,,"Limited edition print illustrated by Radical Rick creator Damian Fulton celebrating two of the most recognizable icons of the 1980s BMX era. The artwork unites Radical Rick with Bill Allen, internationally known for portraying Cru Jones in the 1986 BMX film RAD. Hand-signed by both Fulton and Allen, this piece is numbered 57 of 100 and bridges BMX comic culture with the cinematic legacy of Helltrack.",https://www.instagram.com/p/DBHks0STHrL/,,,,
26.0058,Gold Radical Rick Supercross Bobble Head,Bobble Head,"The ultimate 45th Anniversary tribute: a Gold-Plated Style Resin Radical Rick bobblehead. Produced in collaboration between Damian Fulton and Supercross BMX founder Bill Ryan, this is one of only 45 units produced worldwide. Each unit is hand-signed and numbered by Damian Fulton, making it a cornerstone piece of modern BMX memorabilia.""",Supercross BMX,,"A commemorative Radical Rick bobblehead produced for the character’s 45th anniversary through a collaboration between Damian Fulton and Supercross BMX founder Bill Ryan. Finished in gold-plated style resin, only 45 units were produced worldwide. Each example is hand-signed and numbered by Fulton, representing a modern collectible celebrating the enduring influence of Radical Rick within BMX culture.",https://www.supercrossbmx.com/collections/bobbleheads/products/supercross-bmx-radical-rick-bmx-bobble-head,,,,
26.0059,Bill Allen's Signed Rad Movie Manuscript,Memorabilia ,"A rare, behind-the-scenes look at the 1986 cinematic cornerstone of BMX. This official movie manuscript was acquired directly from the personal archives of Bill Allen, the actor who portrayed Cru Jones. Hand-signed by Allen, this document bridges the gap between the script and the screen, representing the birth of 'Helltrack' and the legend of the underdog racer.",Bill Allen,,"An original production manuscript from the 1986 BMX film RAD, acquired from the personal archives of actor Bill Allen, who portrayed protagonist Cru Jones. Hand-signed by Allen, the document offers a rare behind-the-scenes connection to the development of the film and the creation of the iconic Helltrack race, a defining moment in BMX’s cultural history.",,,,,
26.0060,NBA Rule Book 6th Edition,Memorabilia ,"An original 6th Edition Rule Book from the National Bicycle Association (NBA). This document outlines the official regulations, track requirements, and rider classifications during a pivotal era of organized BMX racing. A vital piece of 'Paper Americana' that showcases the formalization of the sport's competitive standards.",Online,,"Original 6th Edition rule book from the National Bicycle Association (NBA), one of the primary sanctioning bodies of BMX racing during the sport’s formative competitive years. The publication details official race regulations, track standards, and rider classifications, illustrating the increasing organization and professionalization of BMX competition in the United States.",,,,,
26.0061,JAG Flier,Memorabilia ,"An original JAG BMX factory recruitment flier and welcome letter, signed by Renny Roker, President of JAG BMX. This document outlines the 'JOX/JAG Team Package' and highlights the brand's unique focus on academic excellence, offering 'Honor Role' chevrons for riders. It name-drops legendary Factory Team members Brian Barlow, Paul Gossrau, and Jason Jensen, making it a key artifact of late 70s/early 80s racing culture.",Online,,"An original factory recruitment flier and welcome letter from JAG BMX, signed by company president Renny Roker. The document outlines the “JOX/JAG Team Package” and the brand’s distinctive emphasis on academic achievement, including the award of “Honor Roll” chevrons for student riders. It references early factory team members Brian Barlow, Paul Gossrau, and Jason Jensen, making it an important artifact of late-1970s to early-1980s BMX racing culture.",,,,,
26.0062,"Harry Leary ""Harry"" DIRTWERX Helmet",Gear,"An authentic piece of professional racing protection: Harry Leary's personal DIRTWERX helmet. This unit features the custom 'Harry' name decal on the rear, a hallmark of Leary's personal race gear. DIRTWERX was a premier custom paint and helmet provider during the peak of Leary's career, making this a quintessential example of Pro-Circuit safety equipment.",Leary Locker,,"This DIRTWERX helmet belonging to BMX legend Harry Leary, featuring a custom rear “Harry” name decal identifying it as personal race equipment. DIRTWERX was a premier custom helmet paint and finishing provider during the 1980s BMX pro era, supplying distinctive gear to many top racers. This helmet represents the personalized safety equipment used on the professional circuit during Leary’s peak racing years.",,,,,
26.0063,Harry Leary DIRTWERX Jersey,Jersey,"An authentic, race-worn Factory Team Jersey produced by DIRTWERX for BMX legend Harry Leary. This jersey features the classic heavy-duty ventilation and padded elbows characteristic of the Pro-Circuit era. As a companion piece to the DIRTWERX helmet and Leary's signature frames, this garment is a primary artifact of 80s/90s racing 'style' and functional design.",Leary Locker,,"This factory team jersey produced by DIRTWERX for Harry Leary. The garment features heavy ventilation panels and reinforced elbow padding typical of professional BMX racewear in the late 1980s and early 1990s. As a companion piece to Leary’s helmet and race bikes, the jersey represents the functional design and visual style of the professional BMX circuit during the sport’s “Pro-Class” era.",,,,,
26.0064,"Tangent Beanie
Smells like Harry",Hat,"A personal artifact belonging to Harry Leary, gifted to the Lititz BMX collection by his sister, Linda. This Tangent Products beanie represents Harry’s long-standing ties to the industry beyond his racing years. As a 'Personal Effect,' this item provides an intimate link to the man behind the 'Scary' Harry persona.",Linda Leary,,"A Tangent Products beanie belonging to Harry Leary, donated to the Lititz BMX collection by his sister, Linda Leary Taylor. Representing Leary’s continued involvement with the BMX industry beyond his professional racing career, the item serves as a personal artifact connecting the public persona of “Scary” Harry with the individual behind the legend.",,,,,
26.0065,Picture of Harry Leary and Eddy King when Eddy Won NORA cup as seen in BMXA ,Picture,A historic moment captured by BMX Action Magazine: Harry Leary alongside Eddy King during Eddy’s NORA Cup victory celebration. This photograph immortalizes the camaraderie and elite status of the Diamondback and Torker factory eras. A quintessential piece of media that defined the 'Pro-Class' image for a generation of riders.,Leary Locker,,"Period photograph of Harry Leary alongside Eddy King during King’s NORA Cup recognition, as featured in BMX Action magazine. The image captures two prominent professional racers during BMX’s early-to-mid-1980s factory team era, reflecting the influence of brands such as Diamondback and Torker and the emergence of the NORA Cup as BMX’s premier rider-voted award.",,,,,
26.0066,Boss BMX Scooter w/ Modern Carlo Lucia Bars and Pads,Scooter,"A unique hybrid of Mid-School manufacturing and modern street-tech. This Boss BMX Scooter features the original oversized 4130 chromoly frame, now updated with Carlo Lucia Signature Bars and a custom Pad Set. This build bridges the gap between the 'Pit Bike' culture of the 90s and today’s high-end componentry.",Online,,"A Boss BMX scooter built around the brand’s oversized 4130 chromoly frame, later updated with modern Carlo Lucia signature handlebars and a custom pad set. The build reflects the evolution of the scooter concept from the 1990s “pit bike” and BMX crossover culture to contemporary freestyle-influenced component upgrades.",,,,,
26.0067,"1994 ABA Vet Pro Title Trophy Won by Harry Leary
Lower plate is missing",Award,"The official 1994 ABA (American Bicycle Association) Vet Pro National Title trophy, awarded to Harry Leary. This trophy marks Harry’s dominant transition into the Veteran Pro class, proving his status as a multi-generational champion. Note: The lower identification plate is currently missing, but the provenance is confirmed via Harry’s locker storage archive project.",Leary Locker,,"Official trophy awarded to Harry Leary for winning the 1994 American Bicycle Association (ABA) Vet Pro National Title. The award marks Leary’s continued competitive success after transitioning from the professional class into the veteran professional ranks. The lower identification plate is currently missing, though provenance is confirmed through items recovered from Leary’s personal storage archive.",,,,,
26.0068,"JT ""Bad Bones"" Motorcycle Pants",Pants,"A quintessential piece of 90s 'Aggro' style: original JT Racing 'Bad Bones' pants. Originally designed for motocross, these skeletal-print pants became a favorite for BMX pros seeking maximum durability and a bold visual statement on the track. Featuring the iconic bone-graphic sublimation and heavy-duty nylon construction.",Linda Leary,,"Original JT Racing “Bad Bones” motocross pants featuring the brand’s iconic skeletal graphic design. Although developed for motocross, the durable nylon construction and bold styling made them popular among BMX racers and freestyle riders during the early 1990s. The design became synonymous with the aggressive visual identity of the era.",,,,,
26.0069,"1993 Auburn 24"" Custom Cruiser
Theme: The Creeper's Sun",Bike,"A master-built 1993 Auburn 24-inch cruiser, featuring the brand's iconic bolt-together two-piece frame. This custom build, titled 'The Creepers Sun,' blends the unique geometry of the Auburn 'Cr-24' with a bespoke aesthetic. It represents the height of 90s manufacturing innovation, utilizing a chromoly front mated to an aluminum rear clip, optimized for the cruiser class.",Built,,"Custom-built 24-inch cruiser based on a 1993 Auburn frame utilizing the brand’s distinctive bolt-together two-piece design. The configuration combines a chromoly front section with an aluminum rear clip, a manufacturing innovation intended to optimize strength while reducing weight for cruiser-class racing. The build, titled “The Creepers Sun,” reflects the experimentation and technical evolution of BMX manufacturing in the early 1990s.",,,,,
26.0070,Boss Scooter Pad,Pads,This Boss scooter pad from Boss Scooter represents protective handlebar padding used on freestyle scooters. Pads like this help protect riders during tricks and impacts while also displaying brand identity within the freestyle riding community.,Online,,"Original Boss scooter handlebar pad designed to provide impact protection during freestyle scooter riding. Protective pads were a common safety and branding element carried over from BMX race and freestyle bikes, serving both functional and promotional purposes within the emerging scooter riding community.",,,,,
26.0071,"1 of 1 JAD ""Street Style"" Sherman w/ Frame Stand
1 of 1 Frame Stand and 1 of 6 frames made by Mike D., original owner.",Bike,"The centerpiece of the DiMartino collection: a 1 of 1 JAD 'Street Style' Sherman. Hand-fabricated by Mike DiMartino, this is one of only six total frames produced during his tenure. This specific unit is the only 'Street Style' variant ever made, optimized with unique geometry and reinforcements. It is accompanied by its 1 of 1 matching JAD Frame Stand, also custom-built by DiMartino, making this a complete, singular piece of BMX history.",Built; Frame Stand David Lesorgan,,"Hand-fabricated by Mike DiMartino, this JAD “Street Style” Sherman frame is one of only six frames produced during DiMartino’s tenure and the only known “Street Style” variant. The frame features unique geometry and reinforcements tailored for street riding. It is accompanied by its original one-of-one custom JAD frame stand built by DiMartino, making this a singular artifact representing the craftsmanship and limited-production nature of boutique BMX frame building.",,,,,
26.0072,Radical Rick Self Portrait 1 of 45 for Nowhere BMX,Art,"A unique, hand-painted mini portrait of Radical Rick, produced by Damian Fulton for the 2024 NoWear BMX Compound fundraiser. Celebrating 45 years of the character, this original artwork is one of only 45 unique portraits created worldwide. Each piece is hand-signed and features the official Certified Radical seal crimped into the paper to guarantee authenticity.",Damian Fulton,,"Original hand-painted mini portrait of Radical Rick created by artist Damian Fulton for the 2024 NoWear BMX Compound fundraiser. Produced to commemorate the 45th anniversary of the character, each portrait is unique and part of a limited run of 45 pieces worldwide. The artwork is hand-signed by Fulton and features the embossed “Certified Radical” seal verifying authenticity.",https://radicalrickbmx.com/collections/artwork/products/45-charity-giveaway?variant=43898664976470,,,,
26.0073,"ACE Jersey
Given to Harry Leary in Australia",Jersey,A rare piece of international BMX history: an original ACE (Australian Cycling Enterprises) jersey presented to Harry Leary during his competitive tours in Australia. This garment signifies the global expansion of the sport and the cross-continental influence of U.S. Factory Pros. A vital 'Survivor' piece that documents Harry's status as a global ambassador for the sport.,Leary Locker,,"Original ACE (Australian Cycling Enterprises) jersey presented to Harry Leary during one of his competitive tours in Australia. The garment reflects the growing international reach of BMX during the 1980s and the role of American professional riders in promoting the sport abroad. As a presentation piece tied to Leary’s travels, it documents BMX’s early global expansion.",,,,,
26.0074,"Peak ""Leary"" Jersey",Jersey,"A rare co-branded artifact from the peak of Harry Leary's career: the Peak Performance x BIOLAB factory jersey. This piece documents a pivotal era where BMX moved into the realm of high-performance athletics, with BIOLAB serving as the sport's early leader in rider conditioning and sports science. Featuring the iconic neon-heavy sublimation of Peak and the distinctive BIOLAB 'laboratory' branding.",Leary Locker,,"Co-branded Peak Performance and BIOLAB factory team jersey associated with Harry Leary during the height of his professional career. The design features the vibrant neon sublimation style characteristic of late-1980s performance racewear along with BIOLAB branding, a company known for promoting rider conditioning and sports science within BMX. The jersey reflects a period when BMX increasingly embraced high-performance athletic training.",,,,,
26.0075,"BIOLAB ""Leary"" ""4"" Zeronine Jersey
Pairs to 26.0076",Jersey,"This BIOLAB “Leary 4” jersey produced by Zeronine Apparel was worn by BMX legend Harry Leary during his later racing career. The jersey features Leary’s name and the number 4, reflecting his race number while competing with BIOLAB Sciences sponsorship. This artifact pairs with item 26.0076 in the Lititz BMX Archive and is documented in photographs of Leary wearing the jersey during competition and promotional appearances.",Leary Locker,,Racing jersey produced by Zeronine Apparel for Harry Leary during his later professional racing years under BIOLAB Sciences sponsorship. The jersey features Leary’s name and race number “4” as part of the coordinated team kit. This artifact pairs with item 26.0076 in the Lititz BMX Archive and is documented in period photographs of Leary wearing the jersey during competition and promotional appearances.,https://youtu.be/8ElpxzPSf-Y?si=NidQmwYgRGFL02V1,,,,
26.0076,"BIOLAB ""Harry"" Zeronine Pants
Pairs to 26.0075",Pants,These BIOLAB racing pants produced by Zeronine Apparel were worn by BMX legend Harry Leary during his later racing career. The pants feature BIOLAB Sciences sponsorship and Leary’s name as part of the coordinated team kit. This artifact pairs with item 26.0075 in the Lititz BMX Archive and is documented in photographs showing Leary wearing the complete BIOLAB racing kit.,Leary Locker,,"BIOLAB racing pants produced by Zeronine Apparel and worn by Harry Leary as part of the coordinated BIOLAB team kit. Featuring sponsor branding and Leary’s name, the pants reflect the professional team uniforms of the era. This artifact pairs with item 26.0075 in the Lititz BMX Archive and is documented in photographs showing Leary wearing the complete BIOLAB racing outfit.",https://youtu.be/8ElpxzPSf-Y?si=NidQmwYgRGFL02V1,,,,
26.0077,"Silver Dollar Nationals T-Shirt
Pairs to <award>",Shirt,"This Silver Dollar Nationals T-shirt pairs with the 1st Place plaque preserved in the Lititz BMX Archive. The plaque was originally discovered within the Leary Locker collection, and more than a year later Linda Leary located and sent the corresponding event shirt, helping reconnect the award with memorabilia from the same race. Items like this help complete the historical story behind BMX race achievements.",Linda Leary,,"Event T-shirt from the Silver Dollar Nationals race, associated with a 1st Place plaque preserved in the Lititz BMX Archive. The plaque was originally discovered within the “Leary Locker” collection, and more than a year later Linda Leary located and donated the corresponding event shirt. Together, the items reconnect memorabilia from the same race and help document the achievement.",,,,,
26.0078,Harry Leary Memorial Jersey,Jersey,"This Harry Leary memorial jersey was produced for a gathering held to celebrate the life and legacy of BMX pioneer Harry Leary at Dirtyfest 3. The jerseys were created by fellow BMX racer Greg Mathias for the event, which brought together riders and friends from across the BMX community to honor Leary’s lasting impact on the sport.",Greg Mathias,,"Commemorative jersey produced for the gathering held during Dirtyfest 3 to celebrate the life and legacy of BMX pioneer Harry Leary. Designed and produced by fellow racer Greg Mathias, the jerseys were worn by friends and riders who attended the event honoring Leary’s contributions to BMX culture and racing history.",,,,,
26.0079,Harry Leary Memorial Jersey,Jersey,"This Harry Leary memorial jersey was produced for a gathering held to celebrate the life and legacy of BMX pioneer Harry Leary at Dirtyfest 3. The jerseys were created by fellow BMX racer Greg Mathias for the event, which brought together riders and friends from across the BMX community to honor Leary’s lasting impact on the sport.",Greg Mathias,,"Second example of the commemorative jersey produced for Dirtyfest 3 in honor of Harry Leary. Created by Greg Mathias, the jersey represents the BMX community’s collective remembrance of Leary and the lasting influence he had on riders across multiple generations.",,,,,
26.0080,"Fall Risk Racing ""Leary"" Jersey",Jersey,"This Fall Risk Racing “Leary” jersey was gifted by BMX racer Greg Mathias in gratitude to Lititz BMX after the archive presented him with the 2017 Team USA “Learry” jersey discovered within the Leary Locker collection. The exchange reflects the strong sense of community and mutual respect within BMX, where riders and historians often work together to preserve and share the sport’s history.",Greg Mathias,,"Fall Risk Racing team jersey bearing Harry Leary’s name, gifted by BMX racer Greg Mathias to the Lititz BMX Archive. The jersey was presented in gratitude after the archive returned a 2017 Team USA “Leary” jersey discovered within the Leary Locker collection. The exchange reflects the collaborative spirit within BMX culture and the shared effort to preserve the sport’s history.",,,,,
26.0081,"Fall Risk Racing ""Mathias"" Jersey",Jersey,This Fall Risk Racing “Mathias” jersey was gifted by BMX racer Greg Mathias to Lititz BMX in gratitude after the archive presented him with the 2017 Team USA “Learry” jersey discovered within the Leary Locker collection. The jersey reflects the camaraderie within the BMX community and the collaborative effort to preserve and share the sport’s history.,Greg Mathias,,Fall Risk Racing team jersey worn by Greg Mathias and donated to the Lititz BMX Archive as part of the same exchange surrounding the recovery of the Team USA “Leary” jersey from the Leary Locker collection. The artifact highlights the close-knit nature of the BMX community and the cooperation between riders and historians in safeguarding BMX heritage.,,,,,
26.0082,Specialized Jersey,Jersey,"This Specialized racing jersey represents the long-standing involvement of Specialized Bicycle Components in BMX and cycling culture. Jerseys like this were worn by riders and team members during races and promotional events, reflecting the brand identity and sponsorship presence that became a central part of competitive BMX.",Leary Locker,,"Racing jersey produced by Specialized Bicycle Components, reflecting the company’s long-standing involvement in BMX and cycling culture. Jerseys like this were worn by riders and team members during competitions and promotional events, representing the brand identity and sponsorship presence that became central to modern BMX racing.",,,,,
26.0083,Marzocchi Free Ride Team Jersey,Jersey,"This Free Ride Team jersey from Marzocchi represents the company’s involvement in freestyle and off-road cycling disciplines. Marzocchi became widely known for producing high-performance suspension forks used in BMX, mountain biking, and freeride competitions, and team apparel like this reflects the brand’s presence within action sports culture.",Leary Locker,,"Team jersey produced by Marzocchi, a company widely known for manufacturing high-performance suspension forks used in BMX, mountain biking, and freeride disciplines. Apparel such as this reflects Marzocchi’s strong presence within action sports culture and its support of riders competing in gravity and freestyle-oriented cycling events.",,,,,
26.0084,Double Cross Dirt Jump Camp T-Shirt,Shirt,"This Double Cross Dirt Jump Camp T-shirt was owned by local rider John Stancliff and represents participation in BMX dirt jumping culture and training events. Camps like Double Cross brought riders together to develop jumping skills, share techniques, and strengthen the community surrounding BMX freestyle and dirt riding.",John Stancliff,,"T-shirt from the Double Cross Dirt Jump Camp, owned by local rider John Stancliff. Camps like Double Cross brought riders together to develop dirt jumping skills, share techniques, and strengthen the freestyle BMX community through organized training and riding events.",,,,,
26.0085,Auburn Jersey,Jersey,"This Auburn racing jersey represents the BMX brand Auburn Bicycles, known for producing high-performance BMX frames and equipment during the `908's and 1990s. Auburn played an important role in BMX racing during this period, supporting riders and contributing to the development of competitive BMX technology and team culture.",Online,,"Racing jersey representing Auburn Bicycles, a BMX manufacturer known for producing high-performance frames and equipment during the late 1980s and 1990s. Auburn contributed to the development of competitive BMX technology and supported riders during a formative period of modern BMX racing.",,,,,
26.0086,"BIOLAB ""Leary"" ""25"" Jersey",Jersey,"This BIOLAB “Leary 25” jersey was worn by BMX pioneer Harry Leary during his later racing years. Sponsored by BIOLAB, the jersey reflects Leary’s continued involvement in competitive BMX decades after helping define the sport’s early racing era.",Leary Locker,,"Racing jersey worn by BMX pioneer Harry Leary during his later competitive years while sponsored by BIOLAB Sciences. Featuring Leary’s name and race number “25,” the jersey reflects his continued presence in BMX competition decades after helping shape the sport’s early professional racing era.",,,,,
26.0087,2004 Top 10 Track Operator ABA Shirt,Shirt,This 2004 Top 10 Track Operator shirt was issued by the American Bicycle Association (ABA) to recognize BMX track operators whose facilities ranked among the top ten during the season. Awards like this highlight the important role track operators played in building and sustaining local BMX racing programs across the United States.,Leary Locker,,Recognition shirt issued by the American Bicycle Association (ABA) in 2004 to track operators whose facilities ranked among the top ten during the season. Awards such as this highlight the essential role local track operators play in sustaining grassroots BMX racing programs across the United States.,,,,,
26.0088,"2021 Goodyear Raceway BMX ""1st"" Place Tin",Award,"This 1st Place award tin from 2021 was presented at Goodyear Raceway BMX, a track sanctioned by USA BMX. Awards like this recognize race winners at local BMX competitions and represent the grassroots racing programs that form the foundation of organized BMX competition.",Leary Locker,,"Award tin presented to a race winner at Goodyear Raceway BMX in 2021, a track sanctioned by USA BMX. Awards like this recognize top finishers at local competitions and represent the grassroots racing programs that form the foundation of organized BMX racing.",,,,,
26.0089,"2022 Goodyear Raceway BMX ""1st"" Place Tin
Double Points",Award,"This 1st Place award tin from 2022 was presented at Goodyear Raceway BMX, a USA BMX sanctioned track. The race was designated as a Double Points event, meaning riders earned twice the normal points toward season standings, making victories at these events especially valuable within the BMX racing series.",Leary Locker,,"1st Place award tin from a 2022 race at Goodyear Raceway BMX sanctioned by USA BMX. The event was designated as a Double Points race, meaning riders earned twice the normal series points toward seasonal standings, making victories especially valuable within the competition calendar.",,,,,
26.0090,"2015 South Lake Tahoe ""1st"" Place Gold Cup Regional Qualifier Tin",Award,"This 1st Place award tin from 2015 was earned at a Gold Cup Regional Qualifier held at South Lake Tahoe BMX, a track sanctioned by USA BMX. Gold Cup Qualifier races allow riders to earn points toward regional championship standings, making victories at these events an important step toward competing in the Gold Cup Finals.",Leary Locker,,"1st Place award tin earned at the 2015 Gold Cup Regional Qualifier held at South Lake Tahoe BMX, sanctioned by USA BMX. Gold Cup Qualifier races allow riders to accumulate points toward regional standings and qualify for the annual Gold Cup Finals.",,,,,
26.0091,"2019 Nevada State Championship Qualifier ""1st"" Place Tin",Award,"This 1st Place award tin from 2019 was earned at a Nevada State Championship Qualifier race sanctioned by USA BMX. State Championship Qualifier events allow riders to earn points toward state rankings, with strong finishes contributing to overall standings in the seasonal state championship series.",Leary Locker,,1st Place award tin from a 2019 Nevada State Championship Qualifier race sanctioned by USA BMX. State Qualifier events allow riders to earn points toward state rankings and seasonal championship standings.,,,,,
26.0092,"2021 Colorado River BMX  ""1st"" Place Tin

State Championship Qualifier",Award,"This 1st Place award tin from 2021 was earned at Colorado River BMX, a USA BMX sanctioned track, during a State Championship Qualifier race. State Qualifier events allow riders to earn points toward seasonal state rankings, making victories important milestones in the regional BMX racing series.",Leary Locker,,"1st Place award tin earned at Colorado River BMX in 2021 during a USA BMX State Championship Qualifier race. State Qualifier events allow riders to accumulate points toward seasonal state rankings, making victories important milestones within the regional BMX racing series.",,,,,
26.0093,"2017 Metro BMX (Bakersfield) ""1st"" Place Tin
State Championship Qualifier ",Award,"This 1st Place award tin from 2017 was earned at Metro BMX during a State Championship Qualifier race sanctioned by USA BMX. State Qualifier events allow riders to earn points toward state championship standings, making victories at these races important achievements within the regional BMX racing series.",Leary Locker,,"1st Place award tin earned at Metro BMX in Bakersfield, California during a 2017 USA BMX State Championship Qualifier race. Events in the state series allow riders to accumulate points toward state championship rankings throughout the racing season.",,,,,
